,지역(1),지역(2),세대,총전입,총전출,순이동,시도내이동-시군구내,시도내이동-시군구간 전입,시도내이동-시군구간 전출,시도간전입,시도간전출,연도
1102,서울특별시,서울특별시,중장년층,560151.0,619551.0,-59400.0,186917.0,221550.0,221550.0,151684.0,211084.0,2012
1103,서울특별시,서울특별시,중장년층,552537.0,607829.0,-55292.0,186184.0,218646.0,218646.0,147707.0,202999.0,2013
1104,서울특별시,서울특별시,중장년층,574010.0,627899.0,-53889.0,198047.0,226733.0,226733.0,149230.0,203119.0,2014
1105,서울특별시,서울특별시,중장년층,590416.0,663601.0,-73185.0,212640.0,232368.0,232368.0,145408.0,218593.0,2015
1106,서울특별시,서울특별시,중장년층,559291.0,637839.0,-78548.0,197773.0,220375.0,220375.0,141143.0,219691.0,2016
1107,서울특별시,서울특별시,중장년층,539896.0,604680.0,-64784.0,184544.0,215974.0,215974.0,139378.0,204162.0,2017
1108,서울특별시,서울특별시,중장년층,515672.0,591914.0,-76242.0,173142.0,206475.0,206475.0,136055.0,212297.0,2018
1109,서울특별시,서울특별시,중장년층,499548.0,553619.0,-54071.0,160755.0,200871.0,200871.0,137922.0,191993.0,2019
1110,서울특별시,서울특별시,중장년층,552734.0,612186.0,-59452.0,175494.0,228414.0,228414.0,148826.0,208278.0,2020
1111,서울특별시,서울특별시,청년층,604848.0,619566.0,-14718.0,143102.0,241244.0,241244.0,220502.0,235220.0,2010
1112,서울특별시,서울특별시,청년층,592232.0,600724.0,-8492.0,144905.0,235279.0,235279.0,212048.0,220540.0,2011
1113,서울특별시,서울특별시,청년층,555086.0,556383.0,-1297.0,129389.0,214815.0,214815.0,210882.0,212179.0,2012
1114,서울특별시,서울특별시,청년층,533150.0,536119.0,-2969.0,126378.0,207376.0,207376.0,199396.0,202365.0,2013
1115,서울특별시,서울특별시,청년층,552428.0,547875.0,4553.0,132752.0,212511.0,212511.0,207165.0,202612.0,2014
1116,서울특별시,서울특별시,청년층,550882.0,558592.0,-7710.0,137450.0,212096.0,212096.0,201336.0,209046.0,2015
1117,서울특별시,서울특별시,청년층,534652.0,535893.0,-1241.0,128172.0,202296.0,202296.0,204184.0,205425.0,2016
1118,서울특별시,서울특별시,청년층,530931.0,515498.0,15433.0,121335.0,202214.0,202214.0,207382.0,191949.0,2017
1119,서울특별시,서울특별시,청년층,540130.0,517838.0,22292.0,117861.0,204362.0,204362.0,217907.0,195615.0,2018
1120,서울특별시,서울특별시,청년층,553590.0,516887.0,36703.0,116700.0,209420.0,209420.0,227470.0,190767.0,2019
1121,서울특별시,서울특별시,청년층,614152.0,580123.0,34029.0,127825.0,243432.0,243432.0,242895.0,208866.0,2020
165,강원도,강원도,노년층,23358.0,22213.0,1145.0,10452.0,3683.0,3683.0,9223.0,8078.0,2010
166,강원도,강원도,노년층,22823.0,21624.0,1199.0,10380.0,3547.0,3547.0,8896.0,7697.0,2011
167,강원도,강원도,노년층,23194.0,21836.0,1358.0,10461.0,3575.0,3575.0,9158.0,7800.0,2012
168,강원도,강원도,노년층,23096.0,21507.0,1589.0,10553.0,3596.0,3596.0,8947.0,7358.0,2013
169,강원도,강원도,노년층,24654.0,23217.0,1437.0,11829.0,3591.0,3591.0,9234.0,7797.0,2014
170,강원도,강원도,노년층,24900.0,23263.0,1637.0,11451.0,3709.0,3709.0,9740.0,8103.0,2015
171,강원도,강원도,노년층,27018.0,25299.0,1719.0,12784.0,4044.0,4044.0,10190.0,8471.0,2016
172,강원도,강원도,노년층,27308.0,25144.0,2164.0,12392.0,4321.0,4321.0,10595.0,8431.0,2017
173,강원도,강원도,노년층,29591.0,28047.0,1544.0,14432.0,4431.0,4431.0,10728.0,9184.0,2018
174,강원도,강원도,노년층,29525.0,27550.0,1975.0,14306.0,4247.0,4247.0,10972.0,8997.0,2019
175,강원도,강원도,노년층,32512.0,29178.0,3334.0,15377.0,4410.0,4410.0,12725.0,9391.0,2020
176,강원도,강원도,중장년층,87709.0,84525.0,3184.0,42242.0,15306.0,15306.0,30161.0,26977.0,2010
177,강원도,강원도,중장년층,85521.0,81177.0,4344.0,40714.0,14744.0,14744.0,30063.0,25719.0,2011
178,강원도,강원도,중장년층,82624.0,79420.0,3204.0,39427.0,13831.0,13831.0,29366.0,26162.0,2012
179,강원도,강원도,중장년층,79664.0,76071.0,3593.0,38228.0,13580.0,13580.0,27856.0,24263.0,2013
180,강원도,강원도,중장년층,85467.0,81953.0,3514.0,42832.0,14087.0,14087.0,28548.0,25034.0,2014
181,강원도,강원도,중장년층,85761.0,81383.0,4378.0,40987.0,14642.0,14642.0,30132.0,25754.0,2015
182,강원도,강원도,중장년층,85993.0,81306.0,4687.0,41250.0,14925.0,14925.0,29818.0,25131.0,2016
183,강원도,강원도,중장년층,80661.0,76367.0,4294.0,36858.0,14962.0,14962.0,28841.0,24547.0,2017
184,강원도,강원도,중장년층,83005.0,80421.0,2584.0,41314.0,14039.0,14039.0,27652.0,25068.0,2018
185,강원도,강원도,중장년층,82676.0,78361.0,4315.0,42398.0,12742.0,12742.0,27536.0,23221.0,2019
186,강원도,강원도,중장년층,84414.0,78795.0,5619.0,42206.0,12939.0,12939.0,29269.0,23650.0,2020
187,강원도,강원도,청년층,72445.0,76591.0,-4146.0,27650.0,13602.0,13602.0,31193.0,35339.0,2010
188,강원도,강원도,청년층,69769.0,72589.0,-2820.0,26066.0,12937.0,12937.0,30766.0,33586.0,2011
189,강원도,강원도,청년층,66022.0,70984.0,-4962.0,24862.0,12105.0,12105.0,29055.0,34017.0,2012
