,지역(1),지역(2),주택유형,매매가격,연도
116,경기도,하남시,아파트,91.75091733,2010
117,경기도,광주시,아파트,98.89546869,2010
118,경기도,이천시,아파트,80.57184242,2010
119,경기도,여주시,아파트,,2010
120,경기도,김포시,아파트,97.75150646,2010
121,경기도,고양시,아파트,93.22368761,2010
122,경기도,파주시,아파트,101.7214469,2010
123,경기도,포천시,아파트,,2010
124,경기도,동두천시,아파트,107.6639255,2010
125,경기도,양주시,아파트,102.9096,2010
126,경기도,의정부시,아파트,102.1543231,2010
127,인천광역시,인천광역시,아파트,96.80827593,2010
128,부산광역시,부산광역시,아파트,75.54356197,2010
129,대구광역시,대구광역시,아파트,64.74393237,2010
130,광주광역시,광주광역시,아파트,70.20421624,2010
131,대전광역시,대전광역시,아파트,86.60164901,2010
132,울산광역시,울산광역시,아파트,77.08485071,2010
133,세종특별자치시,세종특별자치시,아파트,,2010
134,강원도,강원도,아파트,74.50450486,2010
135,충청북도,충청북도,아파트,77.40903651,2010
136,충청남도,충청남도,아파트,80.66163333,2010
137,전라북도,전라북도,아파트,87.31449232,2010
138,전라남도,전라남도,아파트,84.51657733,2010
139,경상북도,경상북도,아파트,75.39313685,2010
140,경상남도,경상남도,아파트,81.34020616,2010
141,제주특별자치도,제주특별자치도,아파트,65.88465733,2010
142,전국,전국,연립다세대,95.5033789,2010
143,서울특별시,서울특별시,연립다세대,98.26481308,2010
144,경기도,경기도,연립다세대,98.60784841,2010
145,인천광역시,인천광역시,연립다세대,107.5245217,2010
146,부산광역시,부산광역시,연립다세대,86.42049421,2010
147,대구광역시,대구광역시,연립다세대,82.06512216,2010
148,경기도,광주시,연립다세대,89.59078694,2010
149,대전광역시,대전광역시,연립다세대,87.86937672,2010
150,울산광역시,울산광역시,연립다세대,85.98827183,2010
151,세종특별자치시,세종특별자치시,연립다세대,,2010
152,강원도,강원도,연립다세대,82.69620975,2010
153,충청북도,충청북도,연립다세대,86.15388617,2010
154,충청남도,충청남도,연립다세대,91.11977845,2010
155,전라북도,전라북도,연립다세대,86.28970898,2010
156,전라남도,전라남도,연립다세대,86.70303692,2010
157,경상북도,경상북도,연립다세대,86.34458154,2010
158,경상남도,경상남도,연립다세대,85.74298864,2010
159,제주특별자치도,제주특별자치도,연립다세대,82.16320116,2010
160,전국,전국,단독주택,92.2173978,2010
161,서울특별시,서울특별시,단독주택,94.37302439,2010
162,경기도,경기도,단독주택,96.84407571,2010
163,인천광역시,인천광역시,단독주택,100.8651515,2010
164,부산광역시,부산광역시,단독주택,87.09923582,2010
165,대구광역시,대구광역시,단독주택,88.21773713,2010
166,광주광역시,광주광역시,단독주택,96.08800708,2010
167,대전광역시,대전광역시,단독주택,94.7885342,2010
168,울산광역시,울산광역시,단독주택,90.3665141,2010
169,세종특별자치시,세종특별자치시,단독주택,,2010
170,강원도,강원도,단독주택,93.540207,2010
171,충청북도,충청북도,단독주택,92.26882728,2010
172,충청남도,충청남도,단독주택,92.35964034,2010
173,전라북도,전라북도,단독주택,94.0801204,2010
