,지역(1),지역(2),주택유형,전세가격,연도
116,경기도,하남시,아파트,64.0044314,2010
117,경기도,광주시,아파트,68.77419219,2010
118,경기도,이천시,아파트,63.37822908,2010
119,경기도,여주시,아파트,,2010
120,경기도,김포시,아파트,70.50494605,2010
121,경기도,고양시,아파트,61.72537223,2010
122,경기도,파주시,아파트,61.41604097,2010
123,경기도,포천시,아파트,,2010
124,경기도,동두천시,아파트,65.34129093,2010
125,경기도,양주시,아파트,59.63954401,2010
126,경기도,의정부시,아파트,64.9903482,2010
127,인천광역시,인천광역시,아파트,69.94266446,2010
128,부산광역시,부산광역시,아파트,73.19446787,2010
129,대구광역시,대구광역시,아파트,60.62261331,2010
130,광주광역시,광주광역시,아파트,65.45111242,2010
131,대전광역시,대전광역시,아파트,80.66993775,2010
132,울산광역시,울산광역시,아파트,74.89011012,2010
133,세종특별자치시,세종특별자치시,아파트,,2010
134,강원도,강원도,아파트,70.48758484,2010
135,충청북도,충청북도,아파트,69.04100394,2010
136,충청남도,충청남도,아파트,70.15649315,2010
137,전라북도,전라북도,아파트,81.84072715,2010
138,전라남도,전라남도,아파트,78.9908091,2010
139,경상북도,경상북도,아파트,70.27072635,2010
140,경상남도,경상남도,아파트,77.31029521,2010
141,제주특별자치도,제주특별자치도,아파트,66.77648108,2010
142,전국,전국,연립다세대,83.54975466,2010
143,서울특별시,서울특별시,연립다세대,80.62998565,2010
144,경기도,경기도,연립다세대,83.19772707,2010
145,인천광역시,인천광역시,연립다세대,89.27556328,2010
146,부산광역시,부산광역시,연립다세대,86.03412297,2010
147,대구광역시,대구광역시,연립다세대,81.54809396,2010
148,경기도,광주시,연립다세대,88.2404982,2010
149,대전광역시,대전광역시,연립다세대,85.00981314,2010
150,울산광역시,울산광역시,연립다세대,87.06904102,2010
151,세종특별자치시,세종특별자치시,연립다세대,,2010
152,강원도,강원도,연립다세대,80.51766544,2010
153,충청북도,충청북도,연립다세대,82.55021328,2010
154,충청남도,충청남도,연립다세대,86.94743286,2010
155,전라북도,전라북도,연립다세대,83.61235899,2010
156,전라남도,전라남도,연립다세대,86.52545569,2010
157,경상북도,경상북도,연립다세대,87.55294482,2010
158,경상남도,경상남도,연립다세대,84.16353909,2010
159,제주특별자치도,제주특별자치도,연립다세대,81.37798779,2010
160,전국,전국,단독주택,92.16163531,2010
161,서울특별시,서울특별시,단독주택,89.27433438,2010
162,경기도,경기도,단독주택,90.36650646,2010
163,인천광역시,인천광역시,단독주택,93.31890506,2010
164,부산광역시,부산광역시,단독주택,89.6902833,2010
165,대구광역시,대구광역시,단독주택,92.8556787,2010
166,광주광역시,광주광역시,단독주택,96.65772055,2010
167,대전광역시,대전광역시,단독주택,100.5348182,2010
168,울산광역시,울산광역시,단독주택,93.90672432,2010
169,세종특별자치시,세종특별자치시,단독주택,,2010
170,강원도,강원도,단독주택,92.0143847,2010
171,충청북도,충청북도,단독주택,92.54134515,2010
172,충청남도,충청남도,단독주택,91.9623055,2010
173,전라북도,전라북도,단독주택,95.31166191,2010
174,전라남도,전라남도,단독주택,97.13711305,2010
175,경상북도,경상북도,단독주택,95.63258884,2010
176,경상남도,경상남도,단독주택,85.0938395,2010
177,제주특별자치도,제주특별자치도,단독주택,89.19294229,2010
178,전국,전국,종합,85.1513577,2011
179,서울특별시,서울특별시,종합,80.99328003,2011
180,서울특별시,종로구,종합,87.62776799,2011
181,서울특별시,중구,종합,82.14844073,2011
182,서울특별시,용산구,종합,83.38629929,2011
183,서울특별시,성동구,종합,77.8830424,2011
184,서울특별시,광진구,종합,81.79738946,2011
185,서울특별시,동대문구,종합,82.15426958,2011
186,서울특별시,중랑구,종합,84.3782499,2011
187,서울특별시,성북구,종합,82.95152581,2011
188,서울특별시,강북구,종합,84.20660838,2011
189,서울특별시,도봉구,종합,81.93645974,2011
190,서울특별시,노원구,종합,78.09154225,2011
191,서울특별시,은평구,종합,83.71054676,2011
192,서울특별시,서대문구,종합,78.14810687,2011
193,서울특별시,마포구,종합,82.1865464,2011
194,서울특별시,양천구,종합,79.1694823,2011
195,서울특별시,강서구,종합,80.75636893,2011
196,서울특별시,구로구,종합,76.15518731,2011
197,서울특별시,금천구,종합,87.84729109,2011
198,서울특별시,영등포구,종합,77.31108051,2011
199,서울특별시,동작구,종합,78.75955682,2011
200,서울특별시,관악구,종합,82.0554072,2011
201,서울특별시,서초구,종합,82.37314048,2011
202,서울특별시,강남구,종합,82.39423527,2011
203,서울특별시,송파구,종합,80.2999816,2011
204,서울특별시,강동구,종합,77.48252969,2011
205,경기도,경기도,종합,80.53757933,2011
206,경기도,과천시,종합,83.09359525,2011
207,경기도,안양시,종합,79.54284675,2011
208,경기도,성남시,종합,81.16453812,2011
209,경기도,군포시,종합,82.99791179,2011
210,경기도,의왕시,종합,75.19925974,2011
211,경기도,안성시,종합,77.36378973,2011
212,경기도,용인시,종합,84.71347184,2011
213,경기도,수원시,종합,80.37086621,2011
214,경기도,부천시,종합,76.66074814,2011
215,경기도,안산시,종합,80.80466446,2011
216,경기도,시흥시,종합,76.50642039,2011
217,경기도,광명시,종합,77.11800273,2011
218,경기도,화성시,종합,80.36328772,2011
219,경기도,오산시,종합,78.69115498,2011
220,경기도,평택시,종합,89.72331841,2011
221,경기도,남양주시,종합,82.86242157,2011
222,경기도,구리시,종합,80.85330913,2011
223,경기도,하남시,종합,77.57770148,2011
224,경기도,광주시,종합,87.7279182,2011
225,경기도,이천시,종합,85.14528822,2011
226,경기도,여주시,종합,,2011
227,경기도,김포시,종합,75.30918456,2011
228,경기도,고양시,종합,75.00505529,2011
229,경기도,파주시,종합,78.9505812,2011
230,경기도,포천시,종합,,2011
231,경기도,동두천시,종합,85.8055578,2011
232,경기도,양주시,종합,76.62641579,2011
233,경기도,의정부시,종합,79.53102995,2011
234,인천광역시,인천광역시,종합,80.93439664,2011
235,부산광역시,부산광역시,종합,90.91646907,2011
236,대구광역시,대구광역시,종합,76.11348297,2011
237,광주광역시,광주광역시,종합,84.44776776,2011
238,대전광역시,대전광역시,종합,92.38772285,2011
239,울산광역시,울산광역시,종합,90.94834036,2011
240,세종특별자치시,세종특별자치시,종합,,2011
241,강원도,강원도,종합,89.70562562,2011
242,충청북도,충청북도,종합,87.94917267,2011
243,충청남도,충청남도,종합,88.7550123,2011
244,전라북도,전라북도,종합,96.00469199,2011
245,전라남도,전라남도,종합,95.74386832,2011
246,경상북도,경상북도,종합,87.69077837,2011
247,경상남도,경상남도,종합,93.97809917,2011
248,제주특별자치도,제주특별자치도,종합,86.7019762,2011
249,전국,전국,아파트,79.71906839,2011
250,서울특별시,서울특별시,아파트,74.82399455,2011
251,서울특별시,종로구,아파트,80.97671524,2011
252,서울특별시,중구,아파트,76.68484601,2011
253,서울특별시,용산구,아파트,76.35198888,2011
254,서울특별시,성동구,아파트,68.79675742,2011
255,서울특별시,광진구,아파트,70.90613979,2011
256,서울특별시,동대문구,아파트,74.26138258,2011
257,서울특별시,중랑구,아파트,79.68726574,2011
258,서울특별시,성북구,아파트,74.52280437,2011
259,서울특별시,강북구,아파트,74.14598301,2011
260,서울특별시,도봉구,아파트,78.73555123,2011
261,서울특별시,노원구,아파트,76.21788839,2011
262,서울특별시,은평구,아파트,76.22781457,2011
263,서울특별시,서대문구,아파트,70.75886473,2011
264,서울특별시,마포구,아파트,75.61233585,2011
265,서울특별시,양천구,아파트,74.02847109,2011
266,서울특별시,강서구,아파트,72.24583107,2011
267,서울특별시,구로구,아파트,69.80542366,2011
268,서울특별시,금천구,아파트,71.92438227,2011
269,서울특별시,영등포구,아파트,70.89168412,2011
270,서울특별시,동작구,아파트,71.85667858,2011
271,서울특별시,관악구,아파트,70.78530622,2011
272,서울특별시,서초구,아파트,79.40782528,2011
273,서울특별시,강남구,아파트,79.75938544,2011
274,서울특별시,송파구,아파트,76.41569142,2011
275,서울특별시,강동구,아파트,72.89554703,2011
276,경기도,경기도,아파트,74.91543174,2011
277,경기도,과천시,아파트,79.88335849,2011
278,경기도,안양시,아파트,72.46250042,2011
279,경기도,성남시,아파트,75.04051637,2011
280,경기도,군포시,아파트,80.89760822,2011
281,경기도,의왕시,아파트,73.23927312,2011
282,경기도,안성시,아파트,67.75094275,2011
283,경기도,용인시,아파트,82.58423674,2011
284,경기도,수원시,아파트,76.55146556,2011
285,경기도,부천시,아파트,68.94112493,2011
286,경기도,안산시,아파트,70.40426899,2011
287,경기도,시흥시,아파트,73.20499114,2011
288,경기도,광명시,아파트,70.19703288,2011
289,경기도,화성시,아파트,75.30477018,2011
290,경기도,오산시,아파트,77.48069538,2011
291,경기도,평택시,아파트,85.21947034,2011
292,경기도,남양주시,아파트,77.03764416,2011
293,경기도,구리시,아파트,76.51053978,2011
294,경기도,하남시,아파트,75.71579732,2011
295,경기도,광주시,아파트,78.85715687,2011
296,경기도,이천시,아파트,77.53963739,2011
297,경기도,여주시,아파트,,2011
298,경기도,김포시,아파트,72.59351454,2011
299,경기도,고양시,아파트,70.75676107,2011
300,경기도,파주시,아파트,70.34138383,2011
301,경기도,포천시,아파트,,2011
302,경기도,동두천시,아파트,75.58794482,2011
303,경기도,양주시,아파트,70.13290816,2011
304,경기도,의정부시,아파트,73.38142432,2011
305,인천광역시,인천광역시,아파트,73.42133285,2011
306,부산광역시,부산광역시,아파트,87.57460138,2011
307,대구광역시,대구광역시,아파트,70.73799948,2011
308,광주광역시,광주광역시,아파트,80.72836099,2011
309,대전광역시,대전광역시,아파트,89.25660897,2011
310,울산광역시,울산광역시,아파트,88.56438793,2011
311,세종특별자치시,세종특별자치시,아파트,,2011
312,강원도,강원도,아파트,84.88851321,2011
313,충청북도,충청북도,아파트,83.51977581,2011
314,충청남도,충청남도,아파트,81.95182811,2011
